timestamp,temperature,humidity
2026-02-19 19:03:25.305147,19.6,49.9
2026-02-19 19:03:27.564086,19.6,49.8
2026-02-19 19:03:29.822867,19.6,49.9
2026-02-19 19:03:32.081616,19.6,49.9
2026-02-19 19:03:34.340024,19.6,49.9
2026-02-19 19:03:36.598573,19.6,49.9
2026-02-19 19:03:38.856961,19.6,50.0
2026-02-19 19:03:41.115642,19.6,49.9
2026-02-19 19:03:43.374094,19.6,49.9
2026-02-19 19:03:45.632727,19.6,50.0
2026-02-19 19:03:47.891074,19.6,50.0
2026-02-19 19:03:50.149707,19.6,49.9
2026-02-19 19:03:52.408863,19.6,50.0
2026-02-19 19:03:54.667654,19.6,50.0
2026-02-19 19:03:56.926657,19.6,50.0
2026-02-19 19:03:59.185005,19.6,50.0
2026-02-19 19:04:01.444078,19.6,50.0
2026-02-19 19:04:03.702914,19.6,50.0
2026-02-19 19:04:05.961626,19.6,50.0
2026-02-19 19:04:08.220161,19.6,49.9
2026-02-19 19:04:10.479529,19.6,50.0
2026-02-19 19:04:12.738354,19.6,50.0
2026-02-19 19:04:14.996823,19.6,50.0
2026-02-19 19:04:17.255562,19.6,50.0
2026-02-19 19:04:19.514006,19.6,50.0
2026-02-19 19:04:21.773022,19.6,50.0
2026-02-19 19:04:24.032091,19.6,50.0
2026-02-19 19:04:26.291246,19.6,50.0
2026-02-19 19:04:28.550266,19.6,50.0
2026-02-19 19:04:30.809364,19.6,50.0
2026-02-19 19:04:37.585639,19.6,50.0
2026-02-19 19:04:39.846987,19.6,50.0
